Comment,Description,Designator,Footprint,LibRef,Quantity

"C3216X5R1C106K160AA","Multilayer Ceramic Capacitors 10uF ±10% 16V X5R SMD 1206","C100, C102, C103, C104, C106","FP-C3216-160-0_2-IPC_B","CMP-08246-003443-1","5"
"CL10B104KB8NNNC","Multi-layer Ceramic Capacitor, -55 to 125 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","C101, C105, C107, C108","SAMS-C0603-2_M","CMP-2000-05332-1","4"
"6 pin AWG30 direct solder connector","","CN1_ADP1, CN1_ADP2, CN1_ADP3, CN100, CN101, CN102","5 pin AWG30 direct solder connector","6 pin AWG30 direct solder connector","6"
"B220A-13-F","DIODE SCHOTTKY 20V 2A SMA","D100","FP-SMA-MFG","CMP-12790-000072-1","1"
"0443001.DR.","FUSE, SMD, 1A, SLOW BLOW","F100","FP-3403_0163_11-MFG","CMP-26293-000009-1","1"
"62301021021","SMT Vertical Socket Header WR-PHD, Pitch 1.27 mm, Dual Row, 10 pins","J1_ADP1, J1_ADP2, J1_ADP3","62301021021","CMP-1502-01188-1","3"
"691102710003","Series 102 - 5.00 mm Horizontal Entry Modular with Pressure Clamp WR-TBL, 3 pin","J100","691102710003","CMP-1502-03259-1","1"
"USB4085-GF-A","CONN RCPT USB2.0 TYPEC 16POS","J101","FP-USB4085-GF-A-MFG","CMP-196119-000001-1","1"
"150080SS75000","SMD mono-color Chip LED, WL-SMCW, Super Red","LED100","0805_A","CMP-1426-00010-1","1"
"ESP32-WROOM-32","RX TXRX MOD WIFI SURFACE MOUNT","MD100","FP-ESP32-WROOM-32-MFG","CMP-194065-000008-1","1"
"22-23-2031","Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.18 mm, Tail Length 3.56 mm, RoHS, Bulk","P100","MOLX-22-23-2031_V","CMP-2000-05242-1","1"
"Header 4","Header, 4-Pin","P101","HDR1X4","Header 4","1"
"Header 5","Header, 5-Pin","P102","HDR1X5","Header 5","1"
"Header 6","Header, 6-Pin","P103","HDR1X6","Header 6","1"
"BOOT","Header, 2-Pin","P104","HDR1X2","Header 2","1"
"PMS70003","PM1/2.5/10 airborne particle sensor. Silk tape mounting pattern only. Needs sepparate data connector.","PM100, PM101, PM102","PMS7003 standing","PMS70003","3"
"HLK-PM01","HLK-PM01 compact AC-DC power supply 5V 600mA","PS100","HLK-PMxx","HLK-PM01","1"
"AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q100","FP-SOT23-MFG","CMP-83955-000006-1","1"
"MMBT3904","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q101, Q102","ONSC-SOT-23-3-318-08_V","CMP-1048-00631-1","2"
"10k","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R100, R103, R114, R116","RESC2013X60X35NL10T20","CMP-1659-00013-4","4"
"ERZE07A561","VARISTOR 560V 2.5KA DISC 9MM","R101","FP-ERZE07A561-MFG","CMP-05593-000004-1","1"
"CRCW08055K10FKEA","RES Thick Film, 5.1kO, 1%, 0.125W, 100ppm/°C, 0805","R102, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R115","FP-CRCW0805-e3-MFG","CMP-2001-04024-2","12"
"RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R117","RESC2013X60X35ML10T20","CMP-2100-03670-1","1"
"PTS645SM43SMTR92LFS","SWITCH TACTILE SPST-NO 0.05A 12V","SW100","FP-PTS645SM43SMTR92LFS-MFG","CMP-2000-05160-2","1"
"HTU21D","Digital Relative Humidity sensor with Temperature output","U100, U102","FP-HTU21D-IPC_B","CMP-03340-000003-1","2"
"LD1117S33TR","Fixed Low Drop Positive Voltage Regulator, 3.3V, 4-Pin SOT-223, Tape and Reel","U101","SOT-223_L","CMP-0244-00310-1","1"
"CP2102-GMR","Single-Chip USB to URAT Bridge, 3.3 V, -40 to 85 degC, 28-Pin QFN, RoHS, Tape and Reel","U103","SLAB-QFN-28-3125x3125TP_M","CMP-2000-04924-1","1"
